SRR24874119	IBCN140
SRR24874120	IBCN139
SRR24874121	IBCN138
SRR24874122	IBCN137
SRR24874123	IBCN136
SRR24874124	IBCN135
SRR24874125	IBCN133
SRR24874126	IBCN131
SRR24874127	IBCN130
SRR24874128	IBCN129
SRR24874129	IBCN097
SRR24874130	IBCN128
SRR24874131	IBCN127
SRR24874132	IBCN125
SRR24874133	IBCN124
SRR24874134	IBCN120
SRR24874135	IBCN119
SRR24874136	IBCN118
SRR24874137	IBCN116
SRR24874138	IBCN115
SRR24874139	IBCN330
SRR24874140	IBCN329
SRR24874141	IBCN328
SRR24874142	IBCN327
SRR24874143	IBCN326
SRR24874144	IBCN325
SRR24874145	IBCN324
SRR24874146	IBCN323
SRR24874147	IBCN165
SRR24874148	IBCN164
SRR24874149	IBCN163
SRR24874150	IBCN162
SRR24874151	IBCN161
SRR24874152	IBCN100
SRR24874153	IBCN160
SRR24874154	IBCN159
SRR24874155	IBCN158
SRR24874156	IBCN157
SRR24874157	IBCN156
SRR24874158	IBCN155
SRR24874159	IBCN154
SRR24874160	IBCN153
SRR24874161	IBCN152
SRR24874162	IBCN151
SRR24874163	IBCN099
SRR24874164	IBCN150
SRR24874165	IBCN149
SRR24874166	IBCN148
SRR24874167	IBCN147
SRR24874168	IBCN146
SRR24874169	IBCN145
SRR24874170	IBCN144
SRR24874171	IBCN143
SRR24874172	IBCN142
SRR24874173	IBCN141
SRR24874174	IBCN098
SRR24874175	IBCN269
SRR24874176	IBCN109
SRR24874177	IBCN268
SRR24874178	IBCN267
SRR24874179	IBCN266
SRR24874180	IBCN265
SRR24874181	IBCN264
SRR24874182	IBCN263
SRR24874183	IBCN262
SRR24874184	IBCN261
SRR24874185	IBCN260
SRR24874186	IBCN259
SRR24874187	IBCN108
SRR24874188	IBCN258
SRR24874189	IBCN257
SRR24874190	IBCN256
SRR24874191	IBCN255
SRR24874192	IBCN254
SRR24874193	IBCN253
SRR24874194	IBCN252
SRR24874195	IBCN251
SRR24874196	IBCN250
SRR24874197	IBCN249
SRR24874198	IBCN107
SRR24874199	IBCN247
SRR24874200	IBCN246
SRR24874201	IBCN245
SRR24874202	IBCN201
SRR24874203	IBCN244
SRR24874204	IBCN200
SRR24874205	IBCN199
SRR24874206	IBCN198
SRR24874207	IBCN197
SRR24874208	IBCN196
SRR24874209	IBCN195
SRR24874210	IBCN194
SRR24874211	IBCN193
SRR24874212	IBCN192
SRR24874213	IBCN322
SRR24874214	IBCN114
SRR24874215	IBCN096
SRR24874216	IBCN321
SRR24874217	IBCN320
SRR24874218	IBCN319
SRR24874219	IBCN318
SRR24874220	IBCN317
SRR24874221	IBCN316
SRR24874222	IBCN315
SRR24874223	IBCN314
SRR24874224	IBCN313
SRR24874225	IBCN312
SRR24874226	IBCN113
SRR24874227	IBCN311
SRR24874228	IBCN310
SRR24874229	IBCN309
SRR24874230	IBCN308
SRR24874231	IBCN307
SRR24874232	IBCN306
SRR24874233	IBCN305
SRR24874234	IBCN304
SRR24874235	IBCN303
SRR24874236	IBCN302
SRR24874237	IBCN112
SRR24874238	IBCN301
SRR24874239	IBCN300
SRR24874240	IBCN299
SRR24874241	IBCN243
SRR24874242	IBCN242
SRR24874243	IBCN241
SRR24874244	IBCN240
SRR24874245	IBCN239
SRR24874246	IBCN238
SRR24874247	IBCN106
SRR24874248	IBCN237
SRR24874249	IBCN226
SRR24874250	IBCN224
SRR24874251	IBCN218
SRR24874252	IBCN217
SRR24874253	IBCN216
SRR24874254	IBCN215
SRR24874255	IBCN214
SRR24874256	IBCN213
SRR24874257	IBCN212
SRR24874258	IBCN105
SRR24874259	IBCN211
SRR24874260	IBCN210
SRR24874261	IBCN209
SRR24874262	IBCN208
SRR24874263	IBCN207
SRR24874264	IBCN206
SRR24874265	IBCN205
SRR24874266	IBCN204
SRR24874267	IBCN203
SRR24874268	IBCN202
SRR24874269	IBCN103
SRR24874270	IBCN191
SRR24874271	IBCN190
SRR24874272	IBCN189
SRR24874273	IBCN188
SRR24874274	IBCN187
SRR24874275	IBCN186
SRR24874276	IBCN185
SRR24874277	IBCN184
SRR24874278	IBCN183
SRR24874279	IBCN182
SRR24874280	IBCN102
SRR24874281	IBCN181
SRR24874282	IBCN180
SRR24874283	IBCN179
SRR24874284	IBCN178
SRR24874285	IBCN177
SRR24874286	IBCN176
SRR24874287	IBCN175
SRR24874288	IBCN174
SRR24874289	IBCN173
SRR24874290	IBCN172
SRR24874291	IBCN101
SRR24874292	IBCN170
SRR24874293	IBCN169
SRR24874294	IBCN168
SRR24874295	IBCN167
SRR24874296	IBCN166
SRR24874297	IBCN297
SRR24874298	IBCN295
SRR24874299	IBCN294
SRR24874300	IBCN293
SRR24874301	IBCN292
SRR24874302	IBCN291
SRR24874303	IBCN290
SRR24874304	IBCN111
SRR24874305	IBCN289
SRR24874306	IBCN288
SRR24874307	IBCN286
SRR24874308	IBCN285
SRR24874309	IBCN284
SRR24874310	IBCN283
SRR24874311	IBCN282
SRR24874312	IBCN281
SRR24874313	IBCN280
SRR24874314	IBCN279
SRR24874315	IBCN110
SRR24874316	IBCN278
SRR24874317	IBCN277
SRR24874318	IBCN276
SRR24874319	IBCN275
SRR24874320	IBCN274
SRR24874321	IBCN273
SRR24874322	IBCN272
SRR24874323	IBCN271
SRR24874324	IBCN270
SRR24874325	IBCN104
SRR24874326	IBCN095
SRR24874327	IBCN094
