Isolate,Rank,Locality,Year,Mating_type,Region
IBCN241,94,Langgewens,2020,MAT1,Swartland
IBCN242,119,Langgewens,2020,MAT1,Swartland
IBCN244,89,Langgewens,2020,MAT2,Swartland
IBCN245,73,Langgewens,2020,MAT2,Swartland
IBCN246,72,Hopefield,2020,MAT2,Swartland
IBCN247,69,Hopefield,2020,MAT2,Swartland
IBCN249,34,Hopefield,2020,MAT1,Swartland
IBCN250,55,Hopefield,2020,MAT2,Swartland
IBCN251,31,Hopefield,2020,MAT2,Swartland
IBCN252,252,Tygerhoek,2020,MAT1,Suid-Kaap
IBCN253,205,Tygerhoek,2020,MAT1,Suid-Kaap
IBCN254,239,Tygerhoek,2020,MAT1,Suid-Kaap
IBCN255,230,Tygerhoek,2020,MAT2,Suid-Kaap
IBCN256,214,Tygerhoek,2020,MAT2,Suid-Kaap
IBCN257,208,Tygerhoek,2020,MAT1,Suid-Kaap
IBCN258,161,Riversdal,2020,MAT2,Suid-Kaap
IBCN259,184,Riversdal,2020,MAT2,Suid-Kaap
IBCN260,163,Riversdal,2020,MAT2,Suid-Kaap
IBCN261,193,Riversdal,2020,MAT1,Suid-Kaap
IBCN262,81,Langgewens,2021,MAT2,Swartland
IBCN263,97,Langgewens,2021,MAT2,Swartland
IBCN264,108,Langgewens,2021,MAT1,Swartland
IBCN265,100,Langgewens,2021,MAT2,Swartland
IBCN266,17,Eendekuil,2021,MAT2,Swartland
IBCN267,26,Eendekuil,2021,MAT1,Swartland
IBCN268,1,Eendekuil,2021,MAT2,Swartland
IBCN269,248,Tygerhoek,2021,MAT2,Suid-Kaap
IBCN270,225,Tygerhoek,2021,MAT2,Suid-Kaap
IBCN271,220,Tygerhoek,2021,MAT2,Suid-Kaap
IBCN272,249,Tygerhoek,2021,MAT1,Suid-Kaap
IBCN273,144,Napier,2021,MAT1,Suid-Kaap
IBCN274,143,Napier,2021,MAT1,Suid-Kaap
IBCN275,40,Hopefield,2021,MAT2,Swartland
S1,189,Riversdal,2020,MAT1,Suid-Kaap
S10,178,Riversdal,2020,MAT2,Suid-Kaap
S100,202,Riversdal,2021,MAT2,Suid-Kaap
S101,166,Riversdal,2021,MAT1,Suid-Kaap
S102,190,Riversdal,2021,MAT2,Suid-Kaap
S103,237,Tygerhoek,2021,MAT2,Suid-Kaap
S104,251,Tygerhoek,2021,MAT2,Suid-Kaap
S105,235,Tygerhoek,2021,MAT2,Suid-Kaap
S106,207,Tygerhoek,2021,MAT2,Suid-Kaap
S107,245,Tygerhoek,2021,MAT1,Suid-Kaap
S108,226,Tygerhoek,2021,MAT2,Suid-Kaap
S109,211,Tygerhoek,2021,MAT2,Suid-Kaap
S11,162,Riversdal,2020,MAT1,Suid-Kaap
S110,238,Tygerhoek,2021,MAT1,Suid-Kaap
S112,209,Tygerhoek,2021,MAT2,Suid-Kaap
S113,223,Tygerhoek,2021,MAT2,Suid-Kaap
S114,221,Tygerhoek,2021,MAT1,Suid-Kaap
S116,90,Langgewens,2021,MAT2,Swartland
S117,82,Langgewens,2021,MAT2,Swartland
S118,93,Langgewens,2021,MAT2,Swartland
S119,74,Langgewens,2021,MAT2,Swartland
S12,176,Riversdal,2020,MAT1,Suid-Kaap
S120,80,Langgewens,2021,MAT2,Swartland
S121,110,Langgewens,2021,MAT2,Swartland
S122,112,Langgewens,2021,MAT2,Swartland
S123,83,Langgewens,2021,MAT2,Swartland
S124,75,Langgewens,2021,MAT2,Swartland
S125,105,Langgewens,2021,MAT2,Swartland
S126,84,Langgewens,2021,MAT1,Swartland
S127,91,Langgewens,2021,MAT1,Swartland
S128,95,Langgewens,2021,MAT1,Swartland
S129,92,Langgewens,2021,MAT1,Swartland
S130,135,Napier,2021,MAT1,Suid-Kaap
S131,131,Napier,2021,MAT1,Suid-Kaap
S132,152,Napier,2021,MAT1,Suid-Kaap
S133,156,Napier,2021,MAT1,Suid-Kaap
S134,128,Napier,2021,MAT1,Suid-Kaap
S135,137,Napier,2021,MAT2,Suid-Kaap
S136,138,Napier,2021,MAT2,Suid-Kaap
S137,123,Napier,2021,MAT2,Suid-Kaap
S138,6,Eendekuil,2021,MAT2,Swartland
S139,22,Eendekuil,2021,MAT1,Swartland
S14,199,Riversdal,2020,MAT2,Suid-Kaap
S140,19,Eendekuil,2021,MAT2,Swartland
S141,16,Eendekuil,2021,MAT2,Swartland
S142,2,Eendekuil,2021,MAT1,Swartland
S143,11,Eendekuil,2021,MAT2,Swartland
S144,9,Eendekuil,2021,MAT2,Swartland
S145,23,Eendekuil,2021,MAT1,Swartland
S146,13,Eendekuil,2021,MAT1,Swartland
S147,12,Eendekuil,2021,MAT2,Swartland
S148,7,Eendekuil,2021,MAT1,Swartland
S149,27,Eendekuil,2021,MAT1,Swartland
S15,160,Riversdal,2020,MAT1,Suid-Kaap
S150,18,Eendekuil,2021,MAT2,Swartland
S151,61,Hopefield,2021,MAT1,Swartland
S152,54,Hopefield,2021,MAT2,Swartland
S154,44,Hopefield,2021,MAT2,Swartland
S155,53,Hopefield,2021,MAT2,Swartland
S156,47,Hopefield,2021,MAT2,Swartland
S157,38,Hopefield,2021,MAT2,Swartland
S158,71,Hopefield,2021,MAT1,Swartland
S159,58,Hopefield,2021,MAT1,Swartland
S16,197,Riversdal,2020,MAT1,Suid-Kaap
S160,48,Hopefield,2021,MAT1,Swartland
S163,45,Hopefield,2021,MAT1,Swartland
S164,57,Hopefield,2021,MAT1,Swartland
S165,64,Hopefield,2021,MAT2,Swartland
S166,65,Hopefield,2021,MAT2,Swartland
S167,172,Riversdal,2022,MAT2,Suid-Kaap
S168,196,Riversdal,2022,MAT2,Suid-Kaap
S169,194,Riversdal,2022,MAT1,Suid-Kaap
S17,188,Riversdal,2020,MAT2,Suid-Kaap
S170,167,Riversdal,2022,MAT1,Suid-Kaap
S171,165,Riversdal,2022,MAT1,Suid-Kaap
S172,170,Riversdal,2022,MAT1,Suid-Kaap
S173,185,Riversdal,2022,MAT2,Suid-Kaap
S174,159,Riversdal,2022,MAT1,Suid-Kaap
S175,192,Riversdal,2022,MAT2,Suid-Kaap
S176,173,Riversdal,2022,MAT2,Suid-Kaap
S177,179,Riversdal,2022,MAT1,Suid-Kaap
S178,171,Riversdal,2022,MAT1,Suid-Kaap
S179,158,Riversdal,2022,MAT1,Suid-Kaap
S18,168,Riversdal,2020,MAT1,Suid-Kaap
S181,198,Riversdal,2022,MAT1,Suid-Kaap
S182,218,Tygerhoek,2022,MAT2,Suid-Kaap
S183,212,Tygerhoek,2022,MAT2,Suid-Kaap
S184,206,Tygerhoek,2022,MAT1,Suid-Kaap
S185,241,Tygerhoek,2022,MAT2,Suid-Kaap
S186,217,Tygerhoek,2022,MAT2,Suid-Kaap
S187,236,Tygerhoek,2022,MAT2,Suid-Kaap
S188,240,Tygerhoek,2022,MAT1,Suid-Kaap
S189,215,Tygerhoek,2022,MAT1,Suid-Kaap
S19,169,Riversdal,2020,MAT1,Suid-Kaap
S190,250,Tygerhoek,2022,Both,Suid-Kaap
S191,227,Tygerhoek,2022,MAT1,Suid-Kaap
S192,253,Tygerhoek,2022,MAT1,Suid-Kaap
S193,242,Tygerhoek,2022,MAT2,Suid-Kaap
S194,222,Tygerhoek,2022,MAT1,Suid-Kaap
S195,85,Langgewens,2022,MAT2,Swartland
S196,109,Langgewens,2022,MAT2,Swartland
S197,104,Langgewens,2022,MAT2,Swartland
S198,120,Langgewens,2022,MAT2,Swartland
S199,115,Langgewens,2022,MAT1,Swartland
S2,203,Riversdal,2020,MAT1,Suid-Kaap
S20,232,Tygerhoek,2020,MAT2,Suid-Kaap
S200,101,Langgewens,2022,MAT2,Swartland
S201,78,Langgewens,2022,MAT1,Swartland
S202,117,Langgewens,2022,MAT1,Swartland
S203,107,Langgewens,2022,MAT1,Swartland
S207,103,Langgewens,2022,MAT2,Swartland
S208,106,Langgewens,2022,MAT2,Swartland
S209,116,Langgewens,2022,MAT1,Swartland
S21,244,Tygerhoek,2020,MAT2,Suid-Kaap
S210,113,Langgewens,2022,MAT1,Swartland
S211,86,Langgewens,2022,MAT2,Swartland
S212,141,Napier,2022,MAT1,Suid-Kaap
S213,127,Napier,2022,MAT2,Suid-Kaap
S214,125,Napier,2022,MAT1,Suid-Kaap
S215,150,Napier,2022,MAT2,Suid-Kaap
S216,146,Napier,2022,MAT1,Suid-Kaap
S217,126,Napier,2022,MAT1,Suid-Kaap
S218,151,Napier,2022,MAT1,Suid-Kaap
S219,132,Napier,2022,MAT1,Suid-Kaap
S22,247,Tygerhoek,2020,MAT1,Suid-Kaap
S220,130,Napier,2022,MAT1,Suid-Kaap
S221,149,Napier,2022,MAT1,Suid-Kaap
S223,153,Napier,2022,MAT2,Suid-Kaap
S224,25,Eendekuil,2022,MAT1,Swartland
S225,14,Eendekuil,2022,Both,Swartland
S226,21,Eendekuil,2022,MAT1,Swartland
S227,29,Eendekuil,2022,MAT1,Swartland
S228,28,Eendekuil,2022,MAT2,Swartland
S229,3,Eendekuil,2022,MAT1,Swartland
S23,210,Tygerhoek,2020,MAT2,Suid-Kaap
S230,15,Eendekuil,2022,MAT2,Swartland
S231,20,Eendekuil,2022,MAT2,Swartland
S232,30,Eendekuil,2022,MAT1,Swartland
S233,8,Eendekuil,2022,MAT1,Swartland
S234,10,Eendekuil,2022,MAT2,Swartland
S235,5,Eendekuil,2022,MAT2,Swartland
S237,24,Eendekuil,2022,MAT1,Swartland
S239,4,Eendekuil,2022,MAT1,Swartland
S24,213,Tygerhoek,2020,MAT1,Suid-Kaap
S241,49,Hopefield,2022,MAT1,Swartland
S242,52,Hopefield,2022,MAT1,Swartland
S243,42,Hopefield,2022,MAT1,Swartland
S245,56,Hopefield,2022,MAT2,Swartland
S246,41,Hopefield,2022,MAT1,Swartland
S247,43,Hopefield,2022,MAT2,Swartland
S248,35,Hopefield,2022,MAT1,Swartland
S249,46,Hopefield,2022,MAT2,Swartland
S25,233,Tygerhoek,2020,MAT2,Suid-Kaap
S250,68,Hopefield,2022,MAT1,Swartland
S252,60,Hopefield,2022,MAT1,Swartland
S254,51,Hopefield,2022,MAT1,Swartland
S255,63,Hopefield,2022,MAT1,Swartland
S256,66,Hopefield,2022,MAT1,Swartland
S257,67,Hopefield,2022,MAT1,Swartland
S26,224,Tygerhoek,2020,MAT2,Suid-Kaap
S27,229,Tygerhoek,2020,MAT1,Suid-Kaap
S28,234,Tygerhoek,2020,MAT1,Suid-Kaap
S29,219,Tygerhoek,2020,MAT2,Suid-Kaap
S30,231,Tygerhoek,2020,MAT2,Suid-Kaap
S31,216,Tygerhoek,2020,MAT1,Suid-Kaap
S32,246,Tygerhoek,2020,MAT2,Suid-Kaap
S33,243,Tygerhoek,2020,MAT2,Suid-Kaap
S34,228,Tygerhoek,2020,MAT2,Suid-Kaap
S36,76,Langgewens,2020,MAT2,Swartland
S38,87,Langgewens,2020,MAT1,Swartland
S39,88,Langgewens,2020,MAT2,Swartland
S42,114,Langgewens,2020,MAT1,Swartland
S44,118,Langgewens,2020,MAT1,Swartland
S45,79,Langgewens,2020,MAT2,Swartland
S46,98,Langgewens,2020,MAT2,Swartland
S47,102,Langgewens,2020,MAT2,Swartland
S48,77,Langgewens,2020,MAT2,Swartland
S49,99,Langgewens,2020,MAT1,Swartland
S50,96,Langgewens,2020,MAT2,Swartland
S51,111,Langgewens,2020,MAT1,Swartland
S54,39,Hopefield,2020,MAT2,Swartland
S56,36,Hopefield,2020,MAT1,Swartland
S59,70,Hopefield,2020,MAT1,Swartland
S6,191,Riversdal,2020,MAT1,Suid-Kaap
S60,37,Hopefield,2020,MAT2,Swartland
S62,32,Hopefield,2020,MAT2,Swartland
S63,50,Hopefield,2020,MAT2,Swartland
S65,62,Hopefield,2020,MAT1,Swartland
S67,59,Hopefield,2020,MAT1,Swartland
S7,181,Riversdal,2020,MAT1,Suid-Kaap
S71,33,Hopefield,2020,MAT2,Swartland
S72,139,Napier,2020,MAT1,Suid-Kaap
S73,133,Napier,2020,MAT2,Suid-Kaap
S74,140,Napier,2020,MAT2,Suid-Kaap
S75,124,Napier,2020,MAT1,Suid-Kaap
S76,148,Napier,2020,MAT2,Suid-Kaap
S77,142,Napier,2020,MAT1,Suid-Kaap
S78,122,Napier,2020,MAT2,Suid-Kaap
S79,121,Napier,2020,MAT2,Suid-Kaap
S8,195,Riversdal,2020,MAT1,Suid-Kaap
S80,145,Napier,2020,MAT2,Suid-Kaap
S81,147,Napier,2020,MAT1,Suid-Kaap
S82,154,Napier,2020,MAT1,Suid-Kaap
S83,134,Napier,2020,MAT1,Suid-Kaap
S84,155,Napier,2020,MAT2,Suid-Kaap
S85,129,Napier,2020,MAT2,Suid-Kaap
S86,136,Napier,2020,MAT1,Suid-Kaap
S87,157,Napier,2020,MAT1,Suid-Kaap
S88,187,Riversdal,2021,MAT2,Suid-Kaap
S89,177,Riversdal,2021,MAT2,Suid-Kaap
S9,182,Riversdal,2020,MAT1,Suid-Kaap
S90,200,Riversdal,2021,MAT1,Suid-Kaap
S92,175,Riversdal,2021,MAT1,Suid-Kaap
S93,180,Riversdal,2021,MAT2,Suid-Kaap
S94,186,Riversdal,2021,MAT1,Suid-Kaap
S95,204,Riversdal,2021,MAT2,Suid-Kaap
S96,183,Riversdal,2021,MAT2,Suid-Kaap
S97,164,Riversdal,2021,MAT1,Suid-Kaap
S98,174,Riversdal,2021,MAT1,Suid-Kaap
S99,201,Riversdal,2021,MAT2,Suid-Kaap
